 ,4B,8B,16B,32B,64B,128B,256B,512B,1K,2K,4K,8K,16K,32K,64K,128K,256K,512K,1M,2M,4M,8M,16M,32M
4K,0.6,0.6,0.5,0.5,0.7,0.6,0.2,0.1,0.1,0.1,,,,,,,,,,,,,,
8K,0.7,0.6,0.5,0.5,0.5,0.7,0.6,0.2,0.1,0.1,0.1,,,,,,,,,,,,,
16K,0.7,0.6,0.5,0.5,0.5,0.5,0.5,0.8,0.2,0.1,0.1,0.1,,,,,,,,,,,,
32K,0.7,0.6,0.5,0.6,0.6,0.6,0.7,0.9,1,0.1,0.1,0.1,0.1,,,,,,,,,,,
64K,0.7,0.6,0.6,0.7,2,2.2,2.2,1.9,2.1,2.5,1.4,0.1,0.1,0.1,,,,,,,,,,
128K,0.7,0.5,0.7,0.6,1.9,2.2,2.2,2.2,2.2,2.9,2.7,1.4,0.1,0.1,0.1,,,,,,,,,
256K,0.7,0.6,0.6,0.5,2,2.6,2.8,2.6,2.5,4.2,4,2.8,1.6,0.1,0.1,0.1,,,,,,,,
512K,0.7,0.6,0.5,0.7,2.1,2.9,6.3,8.6,9.3,11.2,12.5,8.6,5.4,2.7,0.7,0.1,0.1,,,,,,,
1M,0.6,0.6,0.5,0.5,2,2.8,6.4,7.8,9.1,11.2,12.5,12.4,11.5,8,3.7,0.7,0.1,0.1,,,,,,
2M,0.7,0.7,0.6,0.7,2,3,6.9,8.1,9.5,11.4,12.7,12.6,12.7,11.9,8.8,2.6,0.7,0.1,0.1,,,,,
4M,0.7,0.6,0.6,1.2,4.1,9.5,18.9,22.2,24.9,35.1,48.6,13.4,12.5,12.2,11.6,5.2,2.7,0.7,0.1,0.1,,,,
8M,0.6,0.6,0.6,0.9,4,12,27.1,33.1,38.1,51,58.5,38.3,15.8,15.3,16.1,15.1,7.4,5.3,0.7,0.1,0.1,,,
16M,0.7,0.6,0.6,0.8,4,12.3,31.8,39.8,47.1,62.8,71.1,58.7,38.4,26.7,26.2,18.2,14.2,7.2,5.3,0.7,0.1,0.1,,
32M,0.7,0.8,0.9,0.9,4.3,12.6,33,39.3,49.2,63.5,75.3,69.4,60.4,50.1,38.8,30.2,21.1,17.6,9.2,7.8,0.7,0.1,0.1,
64M,0.7,0.6,0.7,0.8,4.4,12.9,34.9,43.5,47.6,64.6,76.6,75.7,75.6,63.3,43.4,38.9,23.1,21.6,17.4,9.4,7.8,0.7,0.1,0.1